PyECLOUD Version 8.6.0
git hash: b'4069f92c1befdc7e1ff787b95aa81c111f73ff56'
git branch: b'master'
Simulation started on 20 Mar 2022 13:24:47
Initialization finished on 20 Mar 2022 13:25:40
20 Mar 2022 13:26:42 pass. 60/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:43 pass. 61/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:44 pass. 62/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:45 pass. 63/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:46 pass. 64/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:47 pass. 65/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:48 pass. 66/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:49 pass. 67/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:50 pass. 68/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:51 pass. 69/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:52 pass. 70/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:53 pass. 71/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:54 pass. 72/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:55 pass. 73/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:56 pass. 74/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:57 pass. 75/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:58 pass. 76/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:26:59 pass. 77/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:00 pass. 78/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:01 pass. 79/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:02 pass. 80/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:03 pass. 81/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:04 pass. 82/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:05 pass. 83/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:06 pass. 84/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:07 pass. 85/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:08 pass. 86/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:09 pass. 87/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:10 pass. 88/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:11 pass. 89/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:13 pass. 90/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:14 pass. 91/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:15 pass. 92/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:16 pass. 93/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:17 pass. 94/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:18 pass. 95/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:19 pass. 96/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:20 pass. 97/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:21 pass. 98/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:22 pass. 99/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:23 pass. 100/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:24 pass. 101/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:25 pass. 102/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:26 pass. 103/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:27 pass. 104/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:29 pass. 105/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:30 pass. 106/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:31 pass. 107/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:32 pass. 108/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:33 pass. 109/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:34 pass. 110/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:35 pass. 111/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:36 pass. 112/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:38 pass. 113/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:39 pass. 114/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:40 pass. 115/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:41 pass. 116/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:42 pass. 117/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:43 pass. 118/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:44 pass. 119/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:45 pass. 120/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:47 pass. 121/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:48 pass. 122/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:49 pass. 123/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:50 pass. 124/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:51 pass. 125/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:52 pass. 126/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:53 pass. 127/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:55 pass. 128/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:56 pass. 129/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:57 pass. 130/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:58 pass. 131/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:27:59 pass. 132/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:00 pass. 133/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:01 pass. 134/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:02 pass. 135/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:03 pass. 136/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:04 pass. 137/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:05 pass. 138/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:06 pass. 139/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:08 pass. 140/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:09 pass. 141/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:10 pass. 142/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:11 pass. 143/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:12 pass. 144/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:13 pass. 145/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:14 pass. 146/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:16 pass. 147/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:17 pass. 148/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:18 pass. 149/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:19 pass. 150/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:20 pass. 151/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:21 pass. 152/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:22 pass. 153/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:23 pass. 154/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:24 pass. 155/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:26 pass. 156/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:27 pass. 157/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:28 pass. 158/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:29 pass. 159/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:30 pass. 160/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:31 pass. 161/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:32 pass. 162/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:33 pass. 163/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:34 pass. 164/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:36 pass. 165/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:37 pass. 166/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:38 pass. 167/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:39 pass. 168/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:40 pass. 169/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:41 pass. 170/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:42 pass. 171/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:43 pass. 172/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:45 pass. 173/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:46 pass. 174/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:47 pass. 175/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:48 pass. 176/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:28:49 pass. 177/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
